7
	1 2	3 1	1 1	1 5	1 3	2 1	1 4
0	1	 1	 0	 0	 0	 0	 0	 
1	0	 1	 1	 0	 0	 0	 0	 
2	0	 1	 1	 0	 0	 0	 0	 
3	0	 1	 1	 0	 0	 0	 0	 
4	0	 1	 1	 0	 0	 0	 0	 
5	0	 1	 1	 0	 0	 0	 0	 
6	0	 1	 1	 0	 0	 0	 0	 
7	0	 1	 1	 0	 0	 0	 0	 
8	0	 1	 1	 0	 0	 0	 0	 
9	0	 0	 0	 0	 0	 0	 0	 
10	0	 0	 0	 0	 0	 0	 1	 
11	0	 1	 1	 0	 0	 0	 0	 
12	0	 1	 1	 0	 0	 0	 0	 
13	0	 1	 1	 0	 0	 0	 0	 
14	0	 1	 1	 0	 0	 0	 0	 
15	0	 1	 1	 0	 0	 0	 0	 
16	0	 0	 0	 0	 0	 1	 0	 
17	0	 1	 1	 0	 0	 0	 0	 
18	0	 1	 1	 0	 0	 0	 0	 
19	0	 1	 1	 0	 0	 0	 0	 
20	0	 1	 1	 0	 0	 0	 0	 
21	0	 1	 1	 0	 0	 0	 0	 
22	0	 1	 1	 0	 0	 0	 0	 
23	0	 1	 1	 0	 0	 0	 0	 
24	0	 0	 0	 0	 0	 1	 1	 
25	0	 1	 1	 0	 0	 0	 0	 
26	0	 1	 1	 0	 0	 0	 0	 
27	0	 1	 1	 0	 0	 0	 0	 
28	0	 1	 1	 0	 0	 0	 0	 
29	0	 1	 1	 0	 0	 0	 0	 
30	0	 1	 1	 0	 0	 0	 0	 
31	0	 1	 1	 0	 0	 0	 0	 
32	0	 0	 0	 0	 1	 0	 0	 
33	0	 1	 1	 0	 0	 0	 0	 
34	0	 1	 1	 0	 0	 0	 0	 
35	0	 1	 1	 0	 0	 0	 0	 
36	0	 1	 1	 0	 0	 0	 0	 
37	0	 1	 1	 0	 0	 0	 0	 
38	0	 1	 1	 0	 0	 0	 0	 
39	0	 1	 1	 0	 0	 0	 0	 
40	0	 0	 0	 0	 1	 0	 1	 
41	0	 1	 1	 0	 0	 0	 0	 
42	1	 0	 0	 0	 0	 0	 0	 
43	1	 0	 0	 0	 0	 0	 0	 
44	1	 0	 0	 0	 0	 0	 0	 
45	1	 0	 0	 0	 0	 0	 0	 
46	1	 0	 0	 0	 0	 0	 0	 
47	1	 0	 0	 0	 0	 0	 0	 
48	1	 0	 0	 0	 0	 0	 0	 
49	1	 0	 0	 0	 0	 0	 0	 
50	0	 0	 0	 0	 1	 1	 0	 
51	1	 0	 0	 0	 0	 0	 0	 
52	1	 0	 0	 0	 0	 0	 0	 
53	1	 0	 0	 0	 0	 0	 0	 
54	1	 0	 0	 0	 0	 0	 0	 
55	1	 0	 0	 0	 0	 0	 0	 
56	1	 0	 0	 0	 0	 0	 0	 
57	1	 0	 0	 0	 0	 0	 0	 
58	0	 0	 0	 0	 1	 1	 1	 
59	1	 0	 0	 0	 0	 0	 0	 
60	1	 0	 0	 0	 0	 0	 0	 
61	1	 0	 0	 0	 0	 0	 0	 
62	1	 0	 0	 0	 0	 0	 0	 
63	1	 0	 0	 0	 0	 0	 0	 
64	1	 0	 0	 0	 0	 0	 0	 
65	1	 0	 0	 0	 0	 0	 0	 
66	0	 0	 0	 1	 0	 0	 0	 
67	1	 0	 0	 0	 0	 0	 0	 
68	1	 0	 0	 0	 0	 0	 0	 
69	1	 0	 0	 0	 0	 0	 0	 
70	1	 0	 0	 0	 0	 0	 0	 
71	1	 0	 0	 0	 0	 0	 0	 
72	1	 0	 0	 0	 0	 0	 0	 
73	1	 0	 0	 0	 0	 0	 0	 
74	0	 0	 0	 1	 0	 0	 1	 
75	1	 0	 0	 0	 0	 0	 0	 
76	1	 0	 0	 0	 0	 0	 0	 
77	0	 0	 0	 1	 0	 1	 0	 
78	1	 0	 0	 0	 0	 0	 0	 
79	1	 0	 0	 0	 0	 0	 0	 
80	0	 0	 0	 1	 0	 1	 1	 
81	0	 1	 1	 1	 0	 0	 0	 
82	0	 1	 1	 1	 0	 0	 0	 
83	0	 1	 1	 1	 0	 0	 0	 
84	0	 1	 1	 1	 0	 0	 0	 
85	0	 1	 1	 1	 0	 0	 0	 
86	0	 0	 0	 1	 1	 0	 0	 
87	0	 0	 0	 0	 0	 1	 0	 
88	0	 0	 0	 0	 0	 1	 0	 
89	0	 0	 0	 0	 0	 1	 0	 
90	0	 0	 0	 0	 0	 1	 0	 
91	0	 0	 0	 0	 0	 1	 0	 
92	0	 0	 0	 0	 0	 1	 0	 
93	0	 0	 0	 0	 0	 1	 0	 
94	0	 0	 0	 1	 1	 0	 1	 
95	0	 0	 0	 0	 0	 1	 0	 
96	0	 0	 0	 0	 0	 1	 0	 
97	0	 0	 0	 0	 0	 1	 0	 
98	0	 0	 0	 0	 0	 1	 0	 
99	0	 0	 0	 0	 0	 1	 0	 
100	0	 0	 0	 0	 0	 1	 0	 
101	0	 0	 0	 0	 0	 1	 0	 
102	0	 0	 0	 1	 1	 1	 0	 
103	0	 0	 0	 0	 0	 1	 0	 
104	0	 0	 0	 0	 0	 1	 0	 
105	0	 0	 0	 0	 0	 1	 0	 
106	0	 0	 0	 0	 0	 1	 0	 
107	0	 0	 0	 0	 0	 1	 0	 
108	0	 0	 0	 0	 0	 1	 0	 
109	0	 0	 0	 0	 0	 1	 0	 
110	0	 0	 0	 1	 1	 1	 1	 
111	0	 0	 0	 0	 0	 1	 0	 
112	0	 0	 0	 0	 0	 1	 0	 
113	0	 0	 0	 0	 0	 1	 0	 
114	0	 0	 0	 0	 0	 1	 0	 
115	0	 0	 0	 0	 0	 1	 0	 
116	0	 0	 0	 0	 0	 1	 0	 
117	0	 0	 0	 0	 0	 1	 0	 
118	0	 0	 1	 0	 0	 0	 0	 
119	0	 0	 0	 0	 0	 1	 0	 
120	0	 0	 0	 0	 0	 1	 0	 
121	0	 0	 0	 0	 0	 1	 0	 
122	0	 0	 0	 0	 0	 1	 0	 
123	0	 0	 0	 0	 0	 1	 0	 
124	0	 0	 0	 0	 0	 1	 0	 
125	0	 0	 0	 0	 0	 1	 0	 
126	0	 0	 1	 0	 0	 0	 1	 
127	0	 0	 0	 0	 0	 1	 0	 
128	0	 0	 0	 0	 0	 1	 0	 
129	0	 0	 0	 0	 0	 1	 0	 
130	0	 0	 0	 0	 0	 1	 0	 
131	0	 0	 0	 0	 0	 1	 0	 
132	0	 0	 0	 0	 0	 1	 0	 
