7
	1 2	3 1	1 1	1 5	1 3	2 1	1 4
0	1	 1	 0	 0	 0	 0	 0	 
1	1	 1	 0	 0	 0	 0	 0	 
2	1	 1	 0	 0	 0	 0	 0	 
3	1	 1	 0	 0	 0	 0	 0	 
4	0	 0	 0	 0	 0	 0	 0	 
5	1	 1	 0	 0	 0	 0	 0	 
6	1	 1	 0	 0	 0	 0	 0	 
7	1	 1	 0	 0	 0	 0	 0	 
8	0	 0	 0	 0	 0	 0	 1	 
9	1	 1	 0	 0	 0	 0	 0	 
10	1	 1	 0	 0	 0	 0	 0	 
11	1	 1	 0	 0	 0	 0	 0	 
12	0	 0	 0	 0	 0	 1	 0	 
13	1	 1	 0	 0	 0	 0	 0	 
14	1	 1	 0	 0	 0	 0	 0	 
15	1	 1	 0	 0	 0	 0	 0	 
16	0	 0	 0	 0	 0	 1	 1	 
17	1	 1	 0	 0	 0	 0	 0	 
18	1	 1	 0	 0	 0	 0	 0	 
19	0	 0	 0	 0	 1	 0	 0	 
20	1	 1	 0	 0	 0	 0	 0	 
21	1	 1	 0	 0	 0	 0	 0	 
22	1	 1	 0	 0	 0	 0	 0	 
23	0	 0	 0	 0	 1	 0	 1	 
24	1	 1	 0	 0	 0	 0	 0	 
25	1	 1	 0	 0	 0	 0	 0	 
26	1	 1	 0	 0	 0	 0	 0	 
27	0	 0	 0	 0	 1	 1	 0	 
28	1	 1	 0	 0	 0	 0	 0	 
29	1	 1	 0	 0	 0	 0	 0	 
30	1	 1	 0	 0	 0	 0	 0	 
31	0	 0	 0	 0	 1	 1	 1	 
32	1	 1	 0	 0	 0	 0	 0	 
33	1	 1	 0	 0	 0	 0	 0	 
34	1	 1	 0	 0	 0	 0	 0	 
35	0	 0	 0	 1	 0	 0	 0	 
36	1	 1	 0	 0	 0	 0	 0	 
37	1	 1	 0	 0	 0	 0	 0	 
38	1	 1	 0	 0	 0	 0	 0	 
39	0	 0	 0	 1	 0	 0	 1	 
40	1	 1	 0	 0	 0	 0	 0	 
41	1	 1	 0	 0	 0	 0	 0	 
42	1	 1	 0	 0	 0	 0	 0	 
43	0	 0	 0	 1	 0	 1	 0	 
44	1	 1	 0	 0	 0	 0	 0	 
45	1	 1	 0	 0	 0	 0	 0	 
46	1	 1	 0	 0	 0	 0	 0	 
47	0	 0	 0	 1	 0	 1	 1	 
48	1	 1	 0	 0	 0	 0	 0	 
49	1	 1	 0	 0	 0	 0	 0	 
50	1	 1	 0	 0	 0	 0	 0	 
51	0	 0	 0	 1	 1	 0	 0	 
52	1	 1	 0	 0	 0	 0	 0	 
53	1	 1	 0	 0	 0	 0	 0	 
54	1	 1	 0	 0	 0	 0	 0	 
55	0	 0	 0	 1	 1	 0	 1	 
56	1	 1	 0	 0	 0	 0	 0	 
57	1	 1	 0	 0	 0	 0	 0	 
58	1	 1	 0	 0	 0	 0	 0	 
59	0	 0	 0	 1	 1	 1	 0	 
60	1	 1	 0	 0	 0	 0	 0	 
61	1	 1	 0	 0	 0	 0	 0	 
62	0	 0	 0	 1	 1	 1	 1	 
63	1	 1	 0	 0	 0	 0	 0	 
64	1	 1	 0	 0	 0	 0	 0	 
65	1	 1	 0	 0	 0	 0	 0	 
66	0	 0	 1	 0	 0	 0	 0	 
67	1	 1	 0	 0	 0	 0	 0	 
68	1	 1	 0	 0	 0	 0	 0	 
